Link,Dead Link Count
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidemyself=0&userExpLevel=registered&hideminor=1&hidenondamaging=1&limit=250&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,5
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidemyself=1&hideWikibase=0&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&hideWikibase=0&from=20200912180308&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180402&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&userExpLevel=registered&hidemyself=1&hidebots=0&hidecategorization=0&hideWikibase=0&limit=500&from=20200912180448&target=Module%3ATemplate_test_case%2Fconfig,2
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&userExpLevel=registered&hidemyself=1&hidebots=0&hideminor=1&limit=250&from=20200912180534&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&userExpLevel=registered&hidemyself=1&hideminor=1&hidecategorization=0&limit=250&from=20200912180600&target=Module%3ATemplate_test_case%2Fconfig,7
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=0&userExpLevel=unregistered&hidemyself=1&hidebots=0&hidecategorization=0&hideWikibase=0&limit=250&from=20200912180638&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=1&hideWikibase=0&from=20200912180308&target=Module%3ATemplate_test_case%2Fconfig,3
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=1&userExpLevel=registered&hidemyself=1&hidebots=0&from=20200912180345&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=1&userExpLevel=registered&hidemyself=1&hidebots=0&hidecategorization=0&from=20200912180421&target=Module%3ATemplate_test_case%2Fconfig,1
https://en.wikipedia.org/w/index.php?title=Special:RecentChangesLinked&hidenondamaging=1&userExpLevel=unregistered&hidemyself=1&hidebots=0&hidecategorization=0&hideWikibase=0&limit=250&from=20200912180638&target=Module%3ATemplate_test_case%2Fconfig,4
